N,Triton (GB/s),Torch (GB/s)
1024.000000,248.399250,207.119302
1536.000000,306.561333,207.101121
2048.000000,331.059560,203.186151
2560.000000,299.319476,190.097169
3072.000000,269.080301,181.247296
3584.000000,224.584853,160.192762
4096.000000,190.384799,168.970722
4608.000000,235.044263,150.047443
5120.000000,207.567559,155.605856
5632.000000,177.385831,148.863438
6144.000000,167.560659,137.296086
6656.000000,164.329829,150.475639
7168.000000,163.135999,143.436575
7680.000000,162.719053,142.392174
8192.000000,162.902458,170.320146
8704.000000,170.110744,153.792592
9216.000000,165.659572,144.986694
9728.000000,164.579881,140.081450
10240.000000,163.834881,137.746987
10752.000000,163.358671,138.698202
11264.000000,163.443771,141.241378
11776.000000,163.393036,142.022109
12288.000000,163.592908,148.266832
12800.000000,163.561942,137.043440
13312.000000,163.596183,135.939682
13824.000000,163.711151,135.650623
14336.000000,163.487235,137.795264
14848.000000,163.302692,135.804880
15360.000000,164.046201,138.748653
15872.000000,163.721174,141.293766
