N,Triton (GB/s),Torch (GB/s)
1024.000000,299.251143,211.862064
1536.000000,338.201833,215.342834
2048.000000,353.611521,204.933420
2560.000000,359.166986,195.668787
3072.000000,360.941785,183.559943
3584.000000,344.753496,163.518803
4096.000000,327.304953,170.168122
4608.000000,360.032971,156.203395
5120.000000,343.030607,162.405413
5632.000000,323.440972,150.521154
6144.000000,303.212445,136.462262
6656.000000,288.745606,154.118663
7168.000000,274.674379,147.540305
7680.000000,254.059271,146.073778
8192.000000,243.930513,171.363954
8704.000000,281.994178,154.462466
9216.000000,283.569230,144.170120
9728.000000,278.263774,141.997052
10240.000000,269.653864,138.145027
10752.000000,260.498298,143.253058
11264.000000,249.444972,142.923851
11776.000000,242.209140,144.638692
12288.000000,237.204566,149.100774
12800.000000,234.327736,140.187952
13312.000000,232.236149,141.446564
13824.000000,231.258191,133.433441
14336.000000,231.135999,140.434284
14848.000000,230.891396,138.874514
15360.000000,230.918670,142.332050
15872.000000,230.660133,140.785440
