n_rows,Triton (GB/s),Torch (GB/s)
1024.000000,257.888820,153.210989
1536.000000,261.664286,155.237270
2048.000000,262.866892,151.890494
2560.000000,263.196776,152.064499
3072.000000,261.490277,154.255277
3584.000000,260.673062,153.975920
4096.000000,260.612913,153.609378
4608.000000,260.393571,154.824685
5120.000000,261.646879,154.461297
5632.000000,261.146899,154.301364
6144.000000,261.446801,121.208644
6656.000000,260.999617,113.501150
7168.000000,194.144793,154.748519
7680.000000,261.612063,154.365796
8192.000000,261.490287,152.914947
8704.000000,149.424893,153.517101
9216.000000,261.020161,153.792740
9728.000000,261.099589,132.466385
10240.000000,261.725242,153.804268
10752.000000,261.726492,154.288790
11264.000000,260.827998,154.305501
11776.000000,260.986577,113.846524
12288.000000,260.910107,136.249476
12800.000000,256.000006,154.564209
13312.000000,214.658971,154.664242
13824.000000,261.490282,154.510359
14336.000000,260.927893,128.269542
14848.000000,260.370793,139.992929
15360.000000,261.725242,17.551171
15872.000000,7.971556,11.960814
16384.000000,26.463279,11.708640
16896.000000,12.556657,8.247939
17408.000000,12.630653,8.105982
17920.000000,12.719606,8.096369
18432.000000,12.600393,8.083373
18944.000000,12.687899,7.001310
19456.000000,12.706056,7.757383
19968.000000,12.616561,8.099322
